,domain,url,urlType,M_dollar,M_dblApostrophe,M_comma,M_-LRB-,M_-RRB-,M_dot,M_colon,M_ADD,M_AFX,M_CC,M_CD,M_DT,M_EX,M_FW,M_HYPH,M_IN,M_JJ,M_JJR,M_JJS,M_LS,M_MD,M_NFP,M_NN,M_NNP,M_NNPS,M_NNS,M_PDT,M_POS,M_PRP,M_PRP$,M_RB,M_RBR,M_RBS,M_RP,M_SYM,M_TO,M_UH,M_VB,M_VBD,M_VBG,M_VBN,M_VBP,M_VBZ,M_WDT,M_WP,M_WP$,M_WRB,M_XX,M__SP,M_dblSpecialApostrophe,L_WC,L_Analytic,L_Clout,L_Authentic,L_Tone,L_WPS,L_Sixltr,L_Dic,L_function,L_pronoun,L_ppron,L_i,L_we,L_you,L_shehe,L_they,L_ipron,L_article,L_prep,L_auxverb,L_adverb,L_conj,L_negate,L_verb,L_adj,L_compare,L_interrog,L_number,L_quant,L_affect,L_posemo,L_negemo,L_anx,L_anger,L_sad,L_social,L_family,L_friend,L_female,L_male,L_cogproc,L_insight,L_cause,L_discrep,L_tentat,L_certain,L_differ,L_percept,L_see,L_hear,L_feel,L_bio,L_body,L_health,L_sexual,L_ingest,L_drives,L_affiliation,L_achieve,L_power,L_reward,L_risk,L_focuspast,L_focuspresent,L_focusfuture,L_relativ,L_motion,L_space,L_time,L_work,L_leisure,L_home,L_money,L_relig,L_death,L_informal,L_swear,L_netspeak,L_assent,L_nonflu,L_filler,L_AllPunc,L_Period,L_Comma,L_Colon,L_SemiC,L_QMark,L_Exclam,L_Dash,L_Quote,L_Apostro,L_Parenth,L_OtherP,R_full_text_Flesch_reading_ease,R_full_text_Flesch_kincaid_grade,R_full_text_smog,R_full_text_gunning_fog,R_full_text_words_per_sentence,R_full_text_capitalized_words,R_full_text_lexicon,R_full_text_urls_counts,R_full_text_long_words,R_full_text_syllables,R_full_text_stop_words,R_full_text_sentences,R_full_text_linsear_write,R_full_text_automated_readability,R_full_text_characters_total,R_full_text_coleman_liax,R_full_text_difficult_words,R_full_text_words_total
0,www.texaspolicy.com,https://www.texaspolicy.com/multimedia/article/ending-the-border-crisis-urgent-solutions-from-washington-and-texas,fake,-1,-1,3,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,1,-1,6,-1,-1,-1,-1,-1,6,5,1,3,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,-1,1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,29,93.26,63.49,69.96,99.0,14.5,55.17,68.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,13.79,10.34,3.45,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,17.24,6.9,6.9,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.14,0.0,3.45,6.9,0.0,13.79,0.0,3.45,0.0,17.24,0.0,10.34,6.9,6.9,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.14,6.9,10.34,3.45,0.0,0.0,0.0,3.45,0.0,0,0.0,0.0,27.83,24.8,0.0,32.53333333333334,18.0,8.0,28.0,0.0,26.0,69.0,497.22222222222223,2.0,23.5,29.1,249.0,26.52,21.0,36.0
1,jis.gov.jm,https://jis.gov.jm/president-trump-underscores-us-jamaica-relations/,fake,1,-1,14,-1,-1,11,-1,-1,-1,-1,2,-1,-1,-1,2,-1,19,1,1,-1,-1,-1,30,50,1,14,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,2,10,7,6,2,4,-1,-1,-1,-1,-1,-1,-1,154,89.68,92.33,9.09,97.38,14.0,50.65,52.6,3.9,2.6,2.6,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.65,0.65,0.0,9.74,3.25,1.95,0.0,2.6,0.65,5.19,5.19,0.0,0.0,0.0,0.0,11.69,0.0,0.65,1.3,0.65,3.25,1.3,0.65,0.0,0.65,0.65,0.0,4.55,1.95,1.95,0.0,0.65,0.0,0.65,0.0,0.0,18.83,4.55,3.25,9.74,2.6,0.0,5.19,1.3,0.65,11.69,2.6,9.09,2.6,11.04,0.0,0.65,3.9,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0,20.13,8.44,9.09,0.0,0.0,0.0,0.0,1.95,0.0,0,0.0,0.65,42.24,17.7,17.0,22.457728937728934,12.133333333333333,56.0,151.0,0.0,131.0,331.0,98.35164835164836,15.0,13.5,21.7,1245.0,23.03,71.0,182.0
2,www.breitbart.com,https://www.breitbart.com/local/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,fake,3,-1,15,2,2,19,3,-1,-1,2,25,2,-1,-1,1,4,14,1,1,-1,1,-1,58,106,3,20,-1,-1,-1,-1,10,-1,-1,-1,1,-1,-1,1,18,8,7,4,8,-1,-1,-1,-1,-1,-1,-1,298,91.18,55.33,16.27,9.34,16.56,34.9,42.62,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.67,1.68,0.34,1.01,4.7,1.34,0.67,0.0,12.08,1.01,4.7,1.68,3.02,0.67,1.34,1.01,3.02,0.0,0.0,0.0,0.0,4.36,2.01,0.67,0.34,0.34,0.34,0.67,2.01,0.67,0.0,1.34,2.35,0.34,0.67,0.0,1.34,8.72,0.67,1.01,6.04,0.34,1.01,2.35,2.01,0.67,12.75,1.01,8.05,3.69,6.04,1.01,0.67,0.34,0.67,0.34,0.0,0.0,0.0,0.0,0.0,0,22.82,10.74,7.38,0.67,0.67,0.0,0.0,0.34,0.0,0,1.34,1.68,48.05,15.5,15.5,20.875003206361423,14.73913043478261,106.0,287.0,0.0,222.0,577.0,52.8023598820059,23.0,11.833333333333336,18.3,2150.0,18.51,110.0,339.0
3,www.politico.com,https://www.politico.com/story/2017/05/09/trump-presidents-carter-bush-clinton-238125,fake,-1,3,94,2,2,75,2,-1,-1,1,9,8,1,-1,7,9,140,1,1,-1,13,-1,179,202,2,86,-1,-1,9,-1,63,1,-1,2,-1,-1,-1,40,83,40,18,16,23,-1,-1,-1,-1,-1,-1,1,935,78.64,70.74,20.44,16.58,11.69,41.28,63.42,9.63,1.82,0.86,0.21,0.11,0.0,0.43,0.11,0.96,0.11,0.86,2.89,2.57,0.86,2.67,15.4,8.56,4.6,0.0,1.6,1.07,8.13,3.64,4.28,0.43,2.03,0.21,11.12,0.11,0.11,0.21,0.75,11.66,1.93,1.28,2.35,2.78,1.07,2.89,6.42,1.6,4.17,0.53,1.39,0.21,0.75,0.0,0.43,15.19,1.28,2.14,9.63,1.07,1.93,9.84,5.78,0.96,13.8,2.14,2.03,9.73,10.91,0.64,0.75,0.86,0.32,0.21,0.0,0.0,0.0,0.0,0.0,0,22.46,9.73,10.05,0.11,0.0,0.0,0.21,1.39,0.43,0,0.43,0.11,50.52,18.4,17.1,17.305610345753866,12.315217391304348,232.0,915.0,0.0,729.0,1887.0,15.798764342453664,92.0,19.0,22.0,7189.0,20.77,294.0,1133.0
4,www.law.cornell.edu,https://www.law.cornell.edu/constitution-conan/amendment-25#amdt25_hd1,Reliable ,-1,-1,46,-1,-1,20,4,-1,-1,1,29,3,-1,-1,6,14,24,-1,-1,-1,16,-1,94,145,7,44,-1,-1,-1,-1,21,-1,-1,1,-1,-1,-1,23,29,10,5,3,7,-1,-1,-1,3,-1,-1,-1,479,83.14,42.54,16.85,14.28,20.83,46.76,69.1,11.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,2.51,5.22,2.09,1.67,1.25,10.23,0.84,0.42,1.04,7.1,1.25,2.51,0.84,1.67,0.0,0.42,1.04,1.46,0.0,0.21,0.0,0.21,7.93,3.55,1.25,1.04,1.25,0.0,2.09,1.46,0.42,0.84,0.21,1.04,0.63,0.42,0.0,0.0,25.05,0.0,3.76,20.04,1.67,0.21,3.97,3.76,2.71,10.65,1.88,2.51,6.26,25.26,0.0,1.88,0.21,0.0,1.25,0.42,0.0,0.21,0.0,0.21,0,16.49,4.8,9.6,0.21,0.63,0.0,0.0,1.25,0.0,0,0.0,0.0,27.92,19.1,17.7,18.3144434757338,17.903225806451616,152.0,473.0,0.0,371.0,1035.0,32.25225225225225,31.0,19.75,22.3,3779.0,21.99,127.0,555.0
5,https://www.washingtonpost.com,https://www.washingtonpost.com/news/the-fix/wp/2016/02/11/transcript-the-democratic-debate-in-milwaukee-annotated/,Reliable ,-1,-1,16,-1,-1,18,8,-1,-1,-1,3,-1,-1,-1,2,5,13,-1,-1,-1,1,-1,35,39,1,15,-1,-1,4,-1,6,-1,-1,-1,-1,-1,1,19,2,4,5,10,-1,-1,-1,1,-1,-1,-1,-1,165,81.33,92.7,16.48,99.0,8.68,42.42,64.24,12.12,3.64,2.42,0.0,1.21,1.21,0.0,0.0,1.21,0.0,2.42,1.82,3.03,1.82,0.61,18.79,3.03,0.61,1.21,3.03,0.61,9.09,9.09,0.0,0.0,0.0,0.0,14.55,0.0,1.21,0.0,0.0,12.12,4.24,1.82,2.42,1.21,1.21,1.82,7.27,3.03,3.64,0.61,1.21,1.21,0.0,0.0,0.0,11.52,7.88,0.61,3.03,0.61,0.0,2.42,13.33,2.42,11.52,1.82,4.24,4.24,5.45,3.64,0.61,0.61,0.0,0.0,0.61,0.0,0.0,0.0,0.61,0,29.09,12.12,9.7,2.42,1.21,0.0,0.0,3.64,0.0,0,0.0,0.0,71.49,14.7,14.0,14.558769230769231,8.32,39.0,162.0,0.0,119.0,307.0,86.05769230769229,25.0,11.166666666666664,19.2,1235.0,18.62,48.0,208.0
6,https://abcnews.go.com,http://abcnews.go.com/Politics/memory-lapse-trump-seeks-distance-advisor-past-ties/story?id=34600826,Reliable ,2,6,123,-1,-1,91,5,-1,-1,2,36,8,-1,-1,11,9,113,-1,-1,-1,9,6,350,270,7,105,-1,-1,8,1,75,1,-1,-1,2,-1,3,29,125,39,46,18,23,-1,-1,1,-1,1,-1,9,1272,81.93,74.05,21.92,20.97,13.68,37.74,56.45,7.86,1.49,0.47,0.08,0.0,0.31,0.08,0.0,1.02,0.0,0.55,1.81,2.04,0.79,2.59,11.56,3.3,0.71,0.16,3.38,1.49,3.62,1.65,1.97,0.47,0.63,0.31,11.48,0.24,0.16,0.0,0.86,10.61,4.01,1.02,0.71,1.42,1.18,2.67,4.01,1.1,2.2,0.63,1.73,0.86,0.39,0.0,0.47,9.67,1.89,1.81,5.11,0.86,0.94,8.18,2.99,0.79,10.38,1.89,3.07,5.35,10.93,1.89,0.86,2.67,0.08,0.24,0.16,0.0,0.0,0.0,0.16,0,21.54,7.86,9.75,0.0,0.0,0.08,0.08,1.81,1.18,0,0.0,0.79,59.31,16.4,16.5,15.346553129074318,11.984375,286.0,1255.0,0.0,945.0,2413.0,11.66883963494133,128.0,17.5,21.1,9447.0,18.92,328.0,1534.0
7,https://www.washingtonpost.com,https://www.washingtonpost.com/local/they-say-they-arrived-in-the-us-illegally-now-theyre-working-on-trumps-dc-hotel/2015/07/06/9a785116-20ec-11e5-84d5-eb37ee8eaa61_story.html,Reliable ,1,-1,73,1,1,55,1,-1,1,-1,27,3,-1,-1,7,9,109,3,2,1,4,-1,221,132,5,105,-1,-1,4,-1,35,1,-1,-1,-1,-1,-1,24,60,36,12,25,21,-1,-1,1,-1,-1,-1,-1,844,89.9,79.98,38.92,23.9,14.31,42.18,61.49,5.57,1.07,0.47,0.0,0.24,0.12,0.0,0.12,0.59,0.0,1.54,0.83,1.66,0.47,0.59,10.07,5.33,0.95,0.12,3.44,2.49,4.86,2.37,2.49,0.71,0.95,0.12,9.48,0.24,0.36,0.12,0.47,7.58,2.49,1.66,0.36,2.13,0.83,0.71,5.45,0.95,3.55,0.95,2.37,0.24,1.42,0.24,0.59,12.2,1.07,4.15,6.99,1.78,0.83,4.98,4.86,1.07,16.47,2.73,7.94,5.21,11.37,1.9,1.3,2.25,0.0,0.24,0.36,0.12,0.12,0.12,0.0,0,19.31,8.89,8.65,0.12,0.0,0.12,0.0,1.18,0.0,0,0.0,0.36,49.57,20.5,18.0,18.685052399338115,13.243243243243244,163.0,832.0,0.0,646.0,1626.0,18.26530612244898,74.0,35.5,25.3,6342.0,20.03,279.0,980.0
8,https://minnesota.cbslocal.com,http://minnesota.cbslocal.com/2016/07/09/philando-stops/,Reliable ,1,-1,66,1,1,48,2,-1,-1,1,20,5,-1,-1,4,11,74,3,-1,-1,5,-1,130,110,3,84,-1,-1,3,-1,30,1,3,1,-1,-1,-1,18,53,21,23,15,9,-1,-1,-1,-1,-1,-1,-1,620,84.17,53.23,33.16,7.28,11.92,45.65,61.45,8.23,1.29,0.32,0.16,0.16,0.0,0.0,0.0,0.97,0.0,1.45,1.29,2.1,0.81,2.9,10.81,5.81,2.26,0.16,4.03,2.9,4.84,1.61,3.23,0.65,1.13,0.32,6.45,0.32,0.32,0.16,0.48,13.55,3.71,2.26,0.97,2.42,2.1,2.74,6.77,4.68,1.77,0.16,0.65,0.32,0.16,0.0,0.16,14.03,1.29,0.65,8.55,0.65,3.23,6.29,3.23,0.81,12.74,2.58,2.58,7.74,9.03,1.13,0.16,0.97,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0,21.94,8.71,10.81,0.0,0.32,0.32,0.0,1.13,0.0,0,0.32,0.32,56.02,17.2,16.9,19.028133719975926,15.224489795918364,123.0,612.0,0.0,486.0,1181.0,23.99463806970509,49.0,21.66666666666667,22.9,4713.0,19.9,204.0,746.0
9,https://www.motherjones.com,https://www.motherjones.com/politics/2012/09/secret-video-romney-private-fundraiser/,Reliable ,-1,-1,28,2,2,20,6,-1,-1,-1,3,4,-1,-1,3,2,21,1,1,-1,2,1,67,26,3,17,-1,-1,6,-1,18,1,-1,-1,-1,-1,2,15,15,6,11,11,5,-1,1,-1,-1,-1,-1,-1,234,68.75,71.09,25.74,93.14,11.14,40.6,69.23,12.82,4.27,2.14,0.43,0.43,0.43,0.0,0.85,2.14,0.0,0.85,2.56,3.42,0.0,4.7,17.09,4.27,1.28,0.43,2.14,1.28,6.41,5.13,0.85,0.43,0.0,0.0,11.54,1.71,0.43,0.43,0.43,13.68,5.56,1.28,0.43,3.42,2.14,1.71,3.42,2.99,0.0,0.0,2.99,0.0,1.71,0.0,1.28,14.96,1.71,2.99,8.97,3.85,0.43,6.41,9.83,0.43,9.83,1.28,2.99,5.98,10.26,4.27,1.28,4.27,0.0,0.0,0.43,0.0,0.0,0.0,0.43,0,27.35,9.83,11.97,2.56,0.0,0.0,0.0,1.28,0.0,0,0.0,1.71,59.3,19.2,17.1,17.333333333333332,12.0,39.0,231.0,0.0,178.0,480.0,59.66666666666667,25.0,34.5,22.7,1806.0,19.96,79.0,300.0
