,domain,url,urlType,R_full_text_Flesch_reading_ease,R_full_text_Flesch_kincaid_grade,R_full_text_smog,R_full_text_gunning_fog,R_full_text_words_per_sentence,R_full_text_capitalized_words,R_full_text_lexicon,R_full_text_urls_counts,R_full_text_long_words,R_full_text_syllables,R_full_text_stop_words,R_full_text_sentences,R_full_text_linsear_write,R_full_text_automated_readability,R_full_text_characters_total,R_full_text_coleman_liax,R_full_text_difficult_words,R_full_text_words_total,R_norm_full_text_Flesch_reading_ease,R_norm_full_text_Flesch_kincaid_grade,R_norm_full_text_smog,R_norm_full_text_gunning_fog,R_norm_full_text_words_per_sentence,R_norm_full_text_capitalized_words,R_norm_full_text_lexicon,R_norm_full_text_urls_counts,R_norm_full_text_long_words,R_norm_full_text_syllables,R_norm_full_text_stop_words,R_norm_full_text_sentences,R_norm_full_text_linsear_write,R_norm_full_text_automated_readability,R_norm_full_text_characters_total,R_norm_full_text_coleman_liax,R_norm_full_text_difficult_words,R_norm_full_text_words_total
0,www.texaspolicy.com,https://www.texaspolicy.com/multimedia/article/ending-the-border-crisis-urgent-solutions-from-washington-and-texas,fake,27.83,24.8,0.0,32.53333333333334,18.0,8.0,28.0,0.0,26.0,69.0,497.22222222222223,2.0,23.5,29.1,249.0,26.52,21.0,36.0,0.0,1.0000000000000002,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5068493150684932,1.0000000000000002,0.0,1.0,0.0,0.0
1,jis.gov.jm,https://jis.gov.jm/president-trump-underscores-us-jamaica-relations/,fake,42.24,17.7,17.0,22.457728937728934,12.133333333333333,56.0,151.0,0.0,131.0,331.0,98.35164835164836,15.0,13.5,21.7,1245.0,23.03,71.0,182.0,0.33005038937242337,0.2970297029702971,0.9444444444444444,0.4394520869539701,0.3939393939393938,0.17266187050359716,0.10024449877750613,0.0,0.11425462459194778,0.11177474402730377,0.17852374594697693,0.10317460317460317,0.09589041095890416,0.31481481481481466,0.10828440965427266,0.5642946317103621,0.16286644951140067,0.09746328437917223
2,www.breitbart.com,https://www.breitbart.com/local/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,fake,48.05,15.5,15.5,20.875003206361423,14.73913043478261,106.0,287.0,0.0,222.0,577.0,52.8023598820059,23.0,11.833333333333336,18.3,2150.0,18.51,110.0,339.0,0.4631241410902427,0.07920792079207928,0.8611111111111109,0.35139845058557884,0.6631333093783687,0.3525179856115108,0.2110839445802771,0.0,0.21327529923830246,0.2167235494880546,0.08471472287533822,0.16666666666666666,0.027397260273972657,0.0,0.2066753642096108,0.0,0.2899022801302932,0.2022696929238985
3,www.politico.com,https://www.politico.com/story/2017/05/09/trump-presidents-carter-bush-clinton-238125,fake,50.52,18.4,17.1,17.305610345753866,12.315217391304348,232.0,915.0,0.0,729.0,1887.0,15.798764342453664,92.0,19.0,22.0,7189.0,20.77,294.0,1133.0,0.5196976637654604,0.3663366336633662,0.95,0.15281823243729142,0.4127290693496226,0.8057553956834532,0.7229013854930725,0.0,0.7649619151251359,0.7755972696245733,0.00850560382363304,0.7142857142857142,0.3219178082191781,0.34259259259259234,0.7545118504022613,0.2821473158551808,0.8892508143322476,0.7323097463284379
4,www.law.cornell.edu,https://www.law.cornell.edu/constitution-conan/amendment-25#amdt25_hd1,Reliable ,27.92,19.1,17.7,18.3144434757338,17.903225806451616,152.0,473.0,0.0,371.0,1035.0,32.25225225225225,31.0,19.75,22.3,3779.0,21.99,127.0,555.0,0.002061383417315765,0.4356435643564358,0.9833333333333332,0.2089438288202391,0.9900026659557448,0.5179856115107914,0.3626731866340669,0.0,0.3754080522306855,0.41211604095563137,0.04239165734492836,0.2301587301587301,0.3527397260273972,0.3703703703703705,0.3837790824092194,0.43445692883895104,0.3452768729641694,0.3464619492656876
5,https://www.washingtonpost.com,https://www.washingtonpost.com/news/the-fix/wp/2016/02/11/transcript-the-democratic-debate-in-milwaukee-annotated/,Reliable ,71.49,14.7,14.0,14.558769230769231,8.32,39.0,162.0,0.0,119.0,307.0,86.05769230769229,25.0,11.166666666666664,19.2,1235.0,18.62,48.0,208.0,1.0,0.0,0.7777777777777777,0.0,0.0,0.11151079136690648,0.10920945395273024,0.0,0.10119695321001088,0.1015358361774744,0.15320427236315087,0.18253968253968253,0.0,0.08333333333333326,0.10719721678625788,0.013732833957553314,0.08794788273615636,0.11481975967957275
6,https://abcnews.go.com,http://abcnews.go.com/Politics/memory-lapse-trump-seeks-distance-advisor-past-ties/story?id=34600826,Reliable ,59.31,16.4,16.5,15.346553129074318,11.984375,286.0,1255.0,0.0,945.0,2413.0,11.66883963494133,128.0,17.5,21.1,9447.0,18.92,328.0,1534.0,0.7210261108566194,0.16831683168316824,0.9166666666666666,0.04382770529565772,0.3785511363636365,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.26027397260273977,0.2592592592592593,1.0,0.05118601747815266,1.0,1.0
7,https://www.washingtonpost.com,https://www.washingtonpost.com/local/they-say-they-arrived-in-the-us-illegally-now-theyre-working-on-trumps-dc-hotel/2015/07/06/9a785116-20ec-11e5-84d5-eb37ee8eaa61_story.html,Reliable ,49.57,20.5,18.0,18.685052399338115,13.243243243243244,163.0,832.0,0.0,646.0,1626.0,18.26530612244898,74.0,35.5,25.3,6342.0,20.03,279.0,980.0,0.4979386165826845,0.5742574257425745,1.0,0.2295623496082592,0.5085995085995088,0.5575539568345323,0.6552567237163814,0.0,0.6746463547334058,0.6642491467576792,0.01358546088662434,0.5714285714285714,1.0,0.6481481481481481,0.6624266144814089,0.1897627965043696,0.8403908794788274,0.630173564753004
8,https://minnesota.cbslocal.com,http://minnesota.cbslocal.com/2016/07/09/philando-stops/,Reliable ,56.02,17.2,16.9,19.028133719975926,15.224489795918364,123.0,612.0,0.0,486.0,1181.0,23.99463806970509,49.0,21.66666666666667,22.9,4713.0,19.9,204.0,746.0,0.6456710948236373,0.2475247524752475,0.9388888888888888,0.2486493949841673,0.7132737392477653,0.4136690647482015,0.4759576202118989,0.0,0.500544069640914,0.4744027303754266,0.02538505317187886,0.37301587301587297,0.43150684931506855,0.4259259259259258,0.4853228962818004,0.17353308364544295,0.5960912052117264,0.4739652870493992
9,https://www.motherjones.com,https://www.motherjones.com/politics/2012/09/secret-video-romney-private-fundraiser/,Reliable ,59.3,19.2,17.1,17.333333333333332,12.0,39.0,231.0,0.0,178.0,480.0,59.66666666666667,25.0,34.5,22.7,1806.0,19.96,79.0,300.0,0.7207970682546954,0.4455445544554455,0.95,0.15436057791066582,0.3801652892561984,0.11151079136690648,0.1654441727791361,0.0,0.16539717083786726,0.17534129692832764,0.09885180240320428,0.18253968253968253,0.9589041095890408,0.4074074074074072,0.16927592954990214,0.18102372034956327,0.1889250814332248,0.1762349799732977
